color,year,price,first_name,last_name,sex,class
Blue,1992,"1208,6988040134",John,Higgins,Male,Worker:Adult
Blue,2005,"2821,8477368243",Mary,Taylor,Male,Student:Child
Blue,2010,"1337,9887314402",Bryan,Parker,Male,Student:Child
Orange,1997,"2367,5836757645",Joseph,Slendenton,Male,Worker:Teenager
Green,2001,"1929,7757800557",Dylan,Oldman,Male,Worker:Teenager
Red,2007,"2778,4454948157",Tyler,Bush,Female,Worker:Child
Red,1997,"1339,331450861",Jacob,Lewis,Male,Student:Teenager
Green,1990,"1025,3779427037",Sabrina,Bauer,Female,Retired:Adult
Blue,1998,"1002,265727602",Amy,Whiteman,Female,Worker:Teenager
Blue,2001,"618,3144850545",Peter,Symons,Male,Worker:Teenager
Yellow,2013,"1733,6302730143",Adam,Baldwin,Male,Retired:Child
Blue,2005,"1319,2270314209",Cristina,Yang,Female,Student:Child
Orange,1996,"492,2495423704",Margareth,Miller,Male,Worker:Teenager
Green,2003,"2937,036577601",Oleg,Hanson,Female,Retired:Child
Orange,2010,"2925,2370889187",Martina,Davenport,Male,Pensioner:Child
Yellow,2008,"1498,6236030124",Ian,Neal,Male,Student:Child
Red,2003,"905,259514682",Matthew,Garrison,Male,Pensioner:Child
Blue,2005,"2006,4400569424",Yosufzai,Hamidullah,Male,Student:Child
Yellow,2001,"2624,6065976918",Cana,Lorik,Female,Pensioner:Teenager
Green,1992,"1614,7092333883",Bougherra,Madjid,Female,Worker:Adult
Red,2001,"685,5748016275",Amisone,Liatama,Female,Worker:Teenager
Red,2005,"729,9721697234",Sonejee,Masand Oscar,Female,Worker:Child
Red,2009,"2427,1085671969",Girdon,Connor,Male,Pensioner:Child
Yellow,2013,"461,2222625762",Dublin,George,Male,Student:Child
Green,2010,"2587,7485279813",Messi,Lionel,Female,Student:Child
Green,2001,"2488,9446077757",Berezovski,Roman,Female,Worker:Teenager
Yellow,2000,"2953,9757543132",Baten,Raymond,Female,Worker:Teenager
Orange,1996,"1304,5304790028",Neill,Lucas,Female,Student:Teenager
Orange,2010,"1135,3133977279",Fuchs,Christian,Female,Worker:Child
Blue,2004,"943,2910452485",Sadikhov,Rashad,Female,Student:Child
Blue,1993,"2691,0514403023",Leslie,St. Fleur,Female,Pensioner:Adult
Blue,2012,"472,2781032212",Sujon,Md.,Male,Student:Child
Green,1995,"1823,3408746198",Williams,Rashida,Female,Student:Teenager
Yellow,1990,"2396,8477286287",Veremko,Siarhei,Male,Pensioner:Adult
Yellow,1996,"1247,0663902238",Kompany,Vincent,Male,Pensioner:Teenager
Yellow,2006,"2172,6787462719",Gaynair,Ian,Female,Pensioner:Child
Blue,2007,"498,9985236786",Nusum,John Barry,Female,Student:Child
Blue,2003,"1435,728331551",Tshering,Pasang,Female,Pensioner:Child
Orange,2007,"589,5406030938",Raldes,Ronald,Male,Worker:Child
Green,1992,"97,6044931337",Emir,Spahic,Female,Pensioner:Adult
Green,1990,"1202,1776568033",Thuma,Mompati,Female,Student:Adult
Green,2007,"492,6865650229",Da,Silva Thiago Emiliano,Female,Worker:Child
Red,2007,"3011,1505417042",Darussalam,Haji Kamis Rosmin,Female,Pensioner:Child
Green,1996,"2643,3850643113",Popov,Ivelin,Male,Pensioner:Teenager
Blue,1996,"1309,6954594255",Dagano,Moumouni,Female,Worker:Teenager
Orange,2003,"564,7560055256",Nahayo,Valery,Female,Worker:Child
Blue,1991,"1105,0086687207",Sok,Ngon Keo,Female,Student:Adult
Blue,2010,"2177,9549741075",Eto'o,Fils Samuel,Female,Student:Child
Yellow,1995,"2534,196062468",Mckenna,Kevin,Male,Pensioner:Teenager
Red,2002,"692,6152664125",Neves,Fernando,Male,Pensioner:Teenager
Red,2013,"755,6642088927",Lindo,Ian,Female,Pensioner:Child
Blue,2007,"182,7708654925",Koulara,Armel,Female,Student:Child
Red,1994,"1385,5874375329",Zheng,Zhi,Male,Worker:Adult
Green,2009,"145,7727760896",Yepes,Mario Alberto,Female,Worker:Child
Green,2006,"606,9931280687",Mroivili,Mahamoud,Male,Worker:Child
Yellow,1991,"936,3359655142",Andzouana,Kevin,Female,Pensioner:Adult
Yellow,1997,"2597,7173838653",Mputu,Mabi Trésor,Female,Pensioner:Teenager
Orange,1992,"523,9688823819",Ruiz,Bryan,Female,Pensioner:Adult
Green,1997,"2203,8664459139",Srna,Darijo,Female,Student:Teenager
Green,1993,"696,0307815932",Molina,Odelin,Female,Worker:Adult
Yellow,2006,"1430,2599276304",Bernardus,Ashar,Male,Pensioner:Child
Red,2000,"1857,9178862162",Constantinou,Michael,Female,Pensioner:Teenager
Orange,1991,"1131,3088848144",Rosicky,Tomás,Female,Worker:Adult
Orange,2012,"216,6008036472",Agger,Daniel,Male,Student:Child
Blue,2001,"1217,7656148449",Mohamed,Kader Ahmed,Female,Worker:Teenager
Yellow,1997,"2341,3752764352",Barmettler,Heinz,Male,Worker:Teenager
Yellow,2005,"2352,2795499191",Ayovi,Walter,Male,Pensioner:Child
Green,1995,"1679,7641399205",Elhadary,Essam,Female,Worker:Teenager
Green,2011,"740,1036079861",Portillo,Dagoberto,Male,Student:Child
Green,1998,"2904,8201544099",Gerrard,Steven,Male,Worker:Teenager
Blue,1997,"1740,3686330542",Goitom,Daniel,Male,Worker:Teenager
Yellow,2011,"1905,2812647894",Klavan,Ragnar,Female,Worker:Child
Blue,1992,"360,5067194328",Debebe,Degu,Male,Pensioner:Adult
Blue,1990,"1714,5191747584",Benjaminsen,Fróoi,Female,Worker:Adult
Orange,1994,"1511,6663304977",Moisander,Niklas,Male,Student:Adult
Green,1999,"1633,2021788582",Lloris,Hugo,Female,Student:Teenager
Yellow,2004,"2242,2751802839",Pandev,Goran,Female,Pensioner:Child
Yellow,1995,"2579,6749992184",Kankava,Jaba,Female,Student:Teenager
Red,1995,"774,1571543626",Lahm,Philipp,Female,Worker:Teenager
Red,2009,"1739,4712441489",Gyan,Asamoah,Female,Pensioner:Child
Blue,2008,"235,2902656309",Salpingidis,Dimitrios,Male,Student:Child
Green,1995,"1492,8213632554",Marshall,Marc,Male,Student:Teenager
Orange,2002,"1885,2421096414",Cunliffe,Jason,Female,Pensioner:Teenager
Orange,2013,"1583,8777031638",Ruiz,Gutierrez Carlos Humberto,Male,Worker:Child
Yellow,1990,"1601,594139345",Zayatte,Kamil,Male,Pensioner:Adult
Red,1995,"2455,2352377102",Nurse,Chris,Male,Student:Teenager
Green,1990,"2483,2136700749",Valladares,Noel,Male,Student:Adult
Red,1997,"1162,3115232103",Chan,Wai Ho,Female,Pensioner:Teenager
Red,1998,"2942,2041200921",Gera,Zoltán,Female,Student:Teenager
Yellow,1997,"1650,0801159889",Gunnarsson,Aron Einar,Female,Student:Teenager
Green,2000,"1821,3423062004",Chhetri,Sunil,Female,Student:Teenager
Yellow,1991,"1335,4640477225",Buffon,Gianluigi,Male,Student:Adult
Blue,2008,"470,998002205",Thomas,Shavar,Male,Pensioner:Child
